"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:19.820]  Dobra. Zaczynamy czas przeszły.
[01:29:25.220 --> 01:29:26.220]  Tak.
[01:29:26.220 --> 01:29:27.220]  Also.
[01:29:27.220 --> 01:29:28.220]  Towarystyczna inwestycja I wants to, wow I want to know where you lived.
[01:29:28.220 --> 01:29:38.880]  Transyl ćw ο
[01:29:38.880 --> 01:29:42.880]  have and I will Carter was.
[01:29:42.880 --> 01:29:44.100]  D Pardon?
[01:29:44.100 --> 01:29:45.100]  Chang?
[01:29:45.100 --> 01:29:49.100]  Ale to jest to, co się dzieje w przeszłości?
[01:29:49.100 --> 01:29:51.100]  Tak, to jest to.
[01:29:51.100 --> 01:29:53.100]  To jest?
[01:29:53.100 --> 01:29:55.100]  Nie wiem, ale...
[01:29:55.100 --> 01:29:57.100]  Nie wiem, co to jest.
[01:29:57.100 --> 01:29:59.100]  Tak, dokładnie.
[01:29:59.100 --> 01:30:01.100]  Nie wiem.
[01:30:01.100 --> 01:30:03.100]  To się zaskoczyło.
[01:30:03.100 --> 01:30:05.100]  Chciałem sprawdzić...
[01:30:05.100 --> 01:30:07.100]  Myślę, że masz rację.
[01:30:07.100 --> 01:30:09.100]  To ma sens.
[01:30:15.100 --> 01:30:17.100]  No, trochę.
[01:30:17.100 --> 01:30:23.100]  Trochę, ale nie zaskoczył się, bo nie działa tak.

Success! Transcription saved to: Lectures/Polish/A1_2/L20_3rdSept/L20_3rdSept.txt

Process finished with exit code 0
