"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Ja mam ten.
[01:21:54.640 --> 01:21:56.640]  Bi.
[01:21:56.640 --> 01:21:58.640]  Robiliście.
[01:21:58.640 --> 01:22:00.640]  Tu?
[01:22:00.640 --> 01:22:02.640]  Ca.
[01:22:02.640 --> 01:22:04.640]  Pisaliście.
[01:22:04.640 --> 01:22:06.640]  Robiliście.
[01:22:08.640 --> 01:22:10.640]  Aha, mówiliście.
[01:22:10.640 --> 01:22:12.640]  I tu?
[01:22:12.640 --> 01:22:14.640]  Rozmawialiśmy.
[01:22:14.640 --> 01:22:16.640]  Wie.
[01:22:18.640 --> 01:22:20.640]  Rozmawialiśmy.
[01:22:20.640 --> 01:22:22.640]  Bardzo ładnie.
[01:22:22.640 --> 01:22:24.640]  Rozmawialiśmy.
[01:22:24.640 --> 01:22:28.640]  Można to włożyć w drugą i czwórką linię.
[01:22:28.640 --> 01:22:30.640]  To będzie to samo.
[01:22:30.640 --> 01:22:32.640]  Mogłyśmy.
[01:22:32.640 --> 01:22:34.640]  Robiłyśmy.
[01:22:34.640 --> 01:22:36.640]  Pisałyśmy.
[01:22:36.640 --> 01:22:38.640]  Mówiłyśmy.
[01:22:38.640 --> 01:22:40.640]  Rozmawialiśmy.
[01:22:44.640 --> 01:22:46.640]  OK.
[01:22:46.640 --> 01:22:48.640]  I mogłyście.
[01:22:48.640 --> 01:22:50.640]  Robiłyście.
[01:22:50.640 --> 01:22:52.640]  Pisałyście.
[01:22:52.640 --> 01:22:54.640]  Mówiłyście.
[01:22:54.640 --> 01:22:56.640]  Dobra.
[01:22:56.640 --> 01:22:58.640]  Czy to jest łatwo usłyszeć?
[01:22:58.640 --> 01:23:00.640]  Sam tak z mocą tezę?
[01:23:02.640 --> 01:23:04.640]  Dobrze.
[01:23:04.640 --> 01:23:06.640]  To spróbujmy jeszcze.
[01:23:08.640 --> 01:23:10.640]  Mamy od czasu.
[01:23:14.640 --> 01:23:16.640]  Dobrze.
[01:23:16.640 --> 01:23:18.640]  Zobaczmy zadanie 11.
[01:23:24.640 --> 01:23:34.640]  Mamy tutaj krótki tekst.
[01:23:34.640 --> 01:23:36.640]  Wierszyk.
[01:23:36.640 --> 01:23:38.640]  We have a very short poem.
[01:23:38.640 --> 01:23:40.640]  I brakuje niektórych liter.
[01:23:40.640 --> 01:23:42.640]  Jakich liter brakuje?
[01:23:42.640 --> 01:23:44.640]  Brakuje
[01:23:44.640 --> 01:23:46.640]  brakuje
[01:23:46.640 --> 01:23:48.640]  brakuje
[01:23:48.640 --> 01:23:50.640]  i brakuje
[01:23:50.640 --> 01:23:52.640]  i brakuje
[01:23:52.640 --> 01:23:54.640]  i brakuje
[01:23:54.640 --> 01:23:56.640]  i brakuje
[01:23:56.640 --> 01:23:58.640]  i brakuje
[01:23:58.640 --> 01:24:00.640]  i brakuje
[01:24:00.640 --> 01:24:02.640]  i brakuje
[01:24:02.640 --> 01:24:04.640]  i brakuje
[01:24:04.640 --> 01:24:06.640]  i brakuje
[01:24:06.640 --> 01:24:08.640]  brakuje
[01:24:08.640 --> 01:24:10.640]  I oczywiste jest to,
[01:24:10.640 --> 01:24:12.380]  że Milli żeby przetłumaczył
[01:24:12.380 --> 01:24:14.640]  te teksty.
[01:24:14.640 --> 01:24:16.640]  reading
[01:24:16.640 --> 01:24:18.640]  reading
[01:24:18.640 --> 01:24:20.640]  The temperature
[01:24:20.640 --> 01:24:22.640]  of water
[01:24:22.640 --> 01:24:42.640]  Padła gruszka do fartuszka, a za gruszką dwa jabłuszka, a śliweczka wpaść nie chciała, bo śliweczka nie wrzała.
[01:24:42.640 --> 01:25:09.960]  Wpadła gruszka do fartuszka, a za gruszką dwa jabłuszka, a śliweczka wpaść nie chciała, bo śliweczka nie wrzała.
[01:25:12.640 --> 01:25:27.640]  Wpadła gruszka do fartuszka, a za gruszką dwa jabłuszka, a śliweczka nie wrzała.
[01:25:42.640 --> 01:25:44.640]  Teraz jest to samo.
[01:25:48.660 --> 01:25:50.660]  Ok, to wszystko nie tak.
[01:25:50.660 --> 01:25:52.660]  To jest tak.
[01:25:52.660 --> 01:25:54.660]  To jest tak.
[01:25:54.660 --> 01:25:56.660]  Ok, to jest ok.
[01:25:56.660 --> 01:26:00.660]  Czy to napisane jest w listce?
[01:26:00.660 --> 01:26:02.660]  To.
[01:26:02.660 --> 01:26:05.660]  Trzeba wpisać te litery tu.
[01:26:05.660 --> 01:26:07.660]  Wiem, że te litery...
[01:26:07.660 --> 01:26:11.660]  Tak, powinieneś słuchać, a nie wiedzieć, co to znaczy.
[01:26:11.660 --> 01:26:12.640]  Tak, powinieneś słuchać, a nie wiedzieć, co to znaczy.
[01:26:12.640 --> 01:26:14.640]  To jest coś, co...
[01:26:14.640 --> 01:26:16.640]  To jest coś, co wiesz.
[01:26:16.640 --> 01:26:20.640]  Ok, prawie.
[01:26:20.640 --> 01:26:22.640]  Ok, prawie.
[01:26:22.640 --> 01:26:24.640]  Ok.
[01:26:24.640 --> 01:26:26.640]  Spróbujmy jeszcze raz.
[01:26:26.640 --> 01:26:28.640]  Ok.
[01:26:28.640 --> 01:26:33.660]  Wpadła gruszka do fartuszka.
[01:26:33.660 --> 01:26:35.660]  Co to jest?
[01:26:35.660 --> 01:26:37.660]  Co to ma?
[01:26:37.660 --> 01:26:39.660]  Co to ma?
[01:26:39.660 --> 01:26:41.660]  Co to ma?
[01:26:41.660 --> 01:26:43.660]  Co to ma?
[01:26:43.660 --> 01:26:44.660]  Sze.
[01:26:44.660 --> 01:26:45.660]  Sze i?
[01:26:45.660 --> 01:26:46.660]  Sze.
[01:26:46.660 --> 01:26:47.660]  Sze.
[01:26:47.660 --> 01:26:48.660]  I?
[01:26:48.660 --> 01:26:49.660]  Sze.
[01:26:49.660 --> 01:26:50.660]  Sze.
[01:26:50.660 --> 01:26:53.660]  Gruszka, fartuszka.
[01:26:53.660 --> 01:26:55.660]  Co to znaczy fartusze?
[01:26:58.660 --> 01:26:59.660]  Jeden.
[01:26:59.660 --> 01:27:00.660]  Jeden.
[01:27:00.660 --> 01:27:01.660]  Ok.
[01:27:01.660 --> 01:27:02.660]  Dobra.
[01:27:02.660 --> 01:27:07.660]  A za gruszką dwa jabłuszka.
[01:27:07.660 --> 01:27:09.660]  Ok.
[01:27:09.660 --> 01:27:12.660]  Tak samo.
[01:27:12.660 --> 01:27:16.660]  Tak samo.
[01:27:16.660 --> 01:27:18.660]  Tak, bo to jest samo słowo.
[01:27:18.660 --> 01:27:20.660]  Ale w innym przypadku.
[01:27:20.660 --> 01:27:21.660]  Ok.
[01:27:21.660 --> 01:27:24.660]  Gruszką i jabłuszką.
[01:27:24.660 --> 01:27:26.660]  Sze.
[01:27:26.660 --> 01:27:28.660]  Sze.
[01:27:28.660 --> 01:27:30.660]  Sze.
[01:27:30.660 --> 01:27:32.660]  Sze.
[01:27:32.660 --> 01:27:34.660]  Sze.
[01:27:34.660 --> 01:27:35.660]  To są jabłuszka.
[01:27:35.660 --> 01:27:36.660]  Sze.
[01:27:36.660 --> 01:27:37.660]  Sze.
[01:27:37.660 --> 01:27:40.160]  Jest jabłko, prawda?
[01:27:40.160 --> 01:27:42.160]  Tak, małe jabłka.
[01:27:42.160 --> 01:27:44.160]  Małe jabłka.
[01:27:44.160 --> 01:27:46.160]  Ok.
[01:27:46.160 --> 01:27:50.160]  A śliweczka wpaść nie chciała...
[01:27:58.160 --> 01:28:00.160]  Si.
[01:28:00.160 --> 01:28:02.160]  Si.
[01:28:02.160 --> 01:28:04.160]  Si.
[01:28:04.160 --> 01:28:06.160]  Co to jest śliweczka?
[01:28:06.160 --> 01:28:08.160]  Czerwone.
[01:28:08.160 --> 01:28:10.160]  Nie czerwone.
[01:28:10.160 --> 01:28:12.160]  Śliwka, prawda?
[01:28:12.160 --> 01:28:14.160]  Nie, to nie są czerwone.
[01:28:14.160 --> 01:28:16.160]  Nie, to czerwone.
[01:28:16.160 --> 01:28:18.160]  Wiśnia.
[01:28:18.160 --> 01:28:20.160]  Czerwone, wiśnia.
[01:28:20.160 --> 01:28:22.160]  Śliwka.
[01:28:22.160 --> 01:28:24.160]  To jest...
[01:28:24.160 --> 01:28:26.160]  Plam.
[01:28:26.160 --> 01:28:29.160]  Czyli śliwka, śliweczka, mała.
[01:28:29.160 --> 01:28:31.160]  Ok. Wpaść.
[01:28:31.160 --> 01:28:33.160]  Si.
[01:28:33.160 --> 01:28:35.160]  Si.
[01:28:35.160 --> 01:28:36.160]  Wpaść.
[01:28:36.160 --> 01:28:38.160]  To jest czasownik.
[01:28:38.160 --> 01:28:39.160]  Tak.
[01:28:39.160 --> 01:28:40.160]  Co to znaczy?
[01:28:40.160 --> 01:28:42.160]  Plam.
[01:28:42.160 --> 01:28:45.160]  O, to jest... ok, nie ma problemu.
[01:28:45.160 --> 01:28:46.160]  Co to jest podstawowe słowo?
[01:28:46.160 --> 01:28:48.160]  Przedstawowe słowo, wpaść.
[01:28:48.160 --> 01:28:49.160]  To jest podstawowe słowo.
[01:28:49.160 --> 01:28:53.160]  Można to wpaść gdzieś, gdzieś w środku.
[01:28:53.160 --> 01:28:54.160]  Ok.
[01:28:54.160 --> 01:28:55.160]  Wpaść.
[01:28:55.160 --> 01:28:57.160]  Bo to jest... nie ma problemu.
[01:28:57.160 --> 01:28:59.160]  Dobra.
[01:28:59.160 --> 01:29:02.160]  Bo śliweczka nie wjeżdżała...
[01:29:02.160 --> 01:29:04.160]  Si.
[01:29:04.160 --> 01:29:05.160]  Si.
[01:29:05.160 --> 01:29:06.160]  Tak.
[01:29:06.160 --> 01:29:07.160]  Dobra.
[01:29:07.160 --> 01:29:09.160]  Czyto było trudno usłyszeć?
[01:29:09.160 --> 01:29:11.160]  Trochę...
[01:29:11.160 --> 01:29:12.160]  Dobrze.
[01:29:12.160 --> 01:29:14.160]  Ok.
[01:29:14.160 --> 01:29:15.160]  Aha, idzie czas już na koniec, tak?
[01:29:15.160 --> 01:29:17.160]  O, tak.
[01:29:18.160 --> 01:29:19.560]  Dobra, co teraz?
[01:29:24.160 --> 01:29:26.160]  To sześć...
[01:29:26.160 --> 01:29:28.160]  Siedem...
[01:29:28.160 --> 01:29:30.160]  Dobra.
[01:29:30.160 --> 01:29:33.160]  To już będzie... tak...
[01:29:33.160 --> 01:29:41.160]  Na zadanie do momentu będzie zadanie sześć i siedem.
[01:29:41.160 --> 01:29:47.160]  Mamy tutaj tekst, e-mail, który ktoś pisze.
[01:29:47.160 --> 01:29:51.160]  Marta pisze do Jacka.
[01:29:51.160 --> 01:29:55.160]  Najpierw proszę znaleźć nowe słowa.
[01:29:55.160 --> 01:29:58.160]  To jest first of all find new words.
[01:29:58.160 --> 01:30:00.160]  You don't know yet or you don't understand.
[01:30:00.160 --> 01:30:06.160]  I potem do tego mamy zadanie siódme.
[01:30:06.160 --> 01:30:09.160]  So we need to answer two of those.
[01:30:09.160 --> 01:30:12.160]  Prawda czy nieprawda.
[01:30:12.160 --> 01:30:14.160]  Na podstawie tekstu.
[01:30:14.160 --> 01:30:16.160]  According to the text.
[01:30:16.160 --> 01:30:18.160]  Zero.
[01:30:18.160 --> 01:30:20.160]  Dobra.
[01:30:20.160 --> 01:30:23.160]  I jeszcze jedno.
[01:30:23.160 --> 01:30:25.160]  Ćwiczenie pierwsze.
[01:30:25.160 --> 01:30:26.160]  Tutaj.
[01:30:26.160 --> 01:30:28.160]  Ćwiczenia.
[01:30:28.160 --> 01:30:30.160]  Tutaj mamy powtórzenie nazwy nieprawdy.
[01:30:30.160 --> 01:30:32.160]  Miesięcy.
[01:30:32.160 --> 01:30:35.160]  To jest to we just need to revise.
[01:30:35.160 --> 01:30:36.160]  Months.
[01:30:36.160 --> 01:30:39.160]  To wszystko.
[01:30:39.160 --> 01:30:42.160]  Czerw.
[01:30:42.160 --> 01:30:43.160]  Czerw.
[01:30:43.160 --> 01:30:44.160]  Czerw.
[01:30:44.160 --> 01:30:45.160]  Ćwiczenie jeden.
[01:30:45.160 --> 01:30:47.160]  Czyli to.
[01:30:47.160 --> 01:30:48.160]  Czyli to.
[01:30:48.160 --> 01:30:49.160]  To.
[01:30:49.160 --> 01:30:51.160]  I między ćwiczeniami pierwsze.
[01:30:51.160 --> 01:30:52.160]  Czyli to.
[01:30:52.160 --> 01:30:53.160]  Tak.
[01:30:53.160 --> 01:30:54.160]  Tak.
[01:30:54.160 --> 01:30:55.160]  Tak.
[01:30:55.160 --> 01:30:56.160]  Tak.
[01:30:56.160 --> 01:30:57.160]  Tak.
[01:30:57.160 --> 01:30:58.160]  Tak.
[01:30:58.160 --> 01:30:59.160]  Tak.
[01:30:59.160 --> 01:31:00.160]  Tak.
[01:31:00.160 --> 01:31:01.160]  Tak.
[01:31:01.160 --> 01:31:05.160]  ROI.
[01:31:05.160 --> 01:31:06.160]  It's on the next.
[01:31:06.160 --> 01:31:07.160]  What's this means?
[01:31:07.160 --> 01:31:08.160]  Ćwiczenia ?
[01:31:08.160 --> 01:31:09.160]  Ćwiczenia.
[01:31:09.160 --> 01:31:10.160]  No climax.
[01:31:10.160 --> 01:31:12.160]  I will finish with month.
[01:31:12.160 --> 01:31:17.160]  A machine insert.
[01:31:18.160 --> 01:31:19.160]  A moment.
[01:31:19.160 --> 01:31:21.160]  When is Japanese a watch for.
[01:31:21.160 --> 01:31:22.160]  Yes.
[01:31:22.160 --> 01:31:23.160]  Yes.
[01:31:23.160 --> 01:31:24.160]  OK.
[01:31:24.160 --> 01:31:27.160]  No.
[01:31:27.160 --> 01:31:28.160]  Nobody.
[01:31:28.160 --> 01:31:29.160]  Ok.
[01:31:29.160 --> 01:31:31.160]  Styczniu.
[01:31:31.160 --> 01:31:33.160]  Technicznie styczniu, tak.
[01:31:33.160 --> 01:31:35.160]  I uwaga, w styczniu.
[01:31:35.160 --> 01:31:39.160]  I tutaj koło zadania 7,
[01:31:39.160 --> 01:31:41.160]  next to the exercise 7,
[01:31:41.160 --> 01:31:45.160]  we have this blue something with the month.
[01:31:45.160 --> 01:31:47.160]  In this month something.
[01:31:47.160 --> 01:31:53.160]  So it's the correct grammar version.
[01:31:53.160 --> 01:31:55.160]  Czyli to jest pytanie.
[01:31:59.160 --> 01:32:03.160]  No, no, no.
[01:32:03.160 --> 01:32:05.160]  No, no, no.
[01:32:05.160 --> 01:32:07.160]  No, no.
[01:32:07.160 --> 01:32:09.160]  Ok.
[01:32:09.160 --> 01:32:11.160]  And I will send you
[01:32:11.160 --> 01:32:13.160]  one black lie on this.
[01:32:13.160 --> 01:32:15.160]  Correct answers.
[01:32:15.160 --> 01:32:17.160]  Probably to all exercise,
[01:32:17.160 --> 01:32:19.160]  but listen to the chief.
[01:32:19.160 --> 01:32:23.160]  I mean who's
[01:32:23.160 --> 01:32:25.160]  more exactly.
[01:32:25.160 --> 01:32:27.160]  Yeah, I teach mostly
[01:32:27.160 --> 01:32:29.160]  teenagers, so I need to remind them.
[01:32:29.160 --> 01:32:31.160]  I mean we have
[01:32:31.160 --> 01:32:33.160]  chat GPT if you want to chat.
[01:32:33.160 --> 01:32:35.160]  I don't even understand it.
[01:32:35.160 --> 01:32:37.160]  Yeah.
[01:32:37.160 --> 01:32:41.160]  And you have what?
[01:32:41.160 --> 01:32:43.160]  Three more classes?
[01:32:43.160 --> 01:32:45.160]  I know, but the two in the makeup class?
[01:32:45.160 --> 01:32:47.160]  On lag line
[01:32:47.160 --> 01:32:49.160]  they have like three more.
[01:32:49.160 --> 01:32:51.160]  But then we have
[01:32:51.160 --> 01:32:53.160]  a class last Tuesday.
[01:32:53.160 --> 01:32:55.160]  Yeah.
[01:32:55.160 --> 01:32:57.160]  I don't know.
[01:32:57.160 --> 01:32:59.160]  I don't know.
[01:32:59.160 --> 01:33:03.160]  I'm trying to remember how many classes
[01:33:03.160 --> 01:33:05.160]  did we not have because
[01:33:05.160 --> 01:33:07.160]  There was a lot of like substitution
[01:33:07.160 --> 01:33:09.160]  and then some other teachers came in.
[01:33:09.160 --> 01:33:11.160]  Yeah, so
[01:33:11.160 --> 01:33:13.160]  even with that
[01:33:13.160 --> 01:33:19.160]  what were the dates when we just did not have classes at all?
[01:33:19.160 --> 01:33:21.160]  The emails.
[01:33:21.160 --> 01:33:23.160]  Yeah, let's just say emails.
[01:33:23.160 --> 01:33:25.160]  Because other than missing the big apps for one week or so,
[01:33:25.160 --> 01:33:27.160]  we didn't miss any classes.
[01:33:27.160 --> 01:33:29.160]  Except for this
[01:33:29.160 --> 01:33:31.160]  Yeah, that was last semester.
[01:33:31.160 --> 01:33:33.160]  Yeah.
[01:33:33.160 --> 01:33:35.160]  Check the email.

Success! Transcription saved to: Lectures/Polish/A1_2/L21_8thSept/L21_8thSept.txt

Process finished with exit code 0
